rawContent,caseFolding,cleaning,tokenizing,stopword,normalized,stemmed
"Apaan dah, udh beli premium buat ngecek nomor malah disuruh beli lg, dasar!!!","apaan dah, udh beli premium buat ngecek nomor malah disuruh beli lg, dasar!!!",apaan dah udh beli premium buat ngecek nomor malah disuruh beli lg dasar,"['apaan', 'dah', 'udh', 'beli', 'premium', 'buat', 'ngecek', 'nomor', 'malah', 'disuruh', 'beli', 'lg', 'dasar']","['dah', 'udh', 'beli', 'premium', 'ngecek', 'nomor', 'disuruh', 'beli', 'lg', 'dasar']","['dah', 'udh', 'beli', 'premium', 'ngecek', 'nomor', 'disuruh', 'beli', 'lg', 'dasar']","['dah', 'udh', 'beli', 'premium', 'ngecek', 'nomor', 'suruh', 'beli', 'lg', 'dasar']"
Bagus bisa tau klo ada nomor ga di kenal,bagus bisa tau klo ada nomor ga di kenal,bagus bisa tau klo ada nomor ga di kenal,"['bagus', 'bisa', 'tau', 'klo', 'ada', 'nomor', 'ga', 'di', 'kenal']","['bagus', 'nomor', 'kenal']","['bagus', 'nomor', 'kenal']","['bagus', 'nomor', 'kenal']"
Aplikasi yang sangat membantu kita dari Penipu2 jahanam,aplikasi yang sangat membantu kita dari penipu2 jahanam,aplikasi yang sangat membantu kita dari penipu jahanam,"['aplikasi', 'yang', 'sangat', 'membantu', 'kita', 'dari', 'penipu', 'jahanam']","['aplikasi', 'membantu', 'penipu', 'jahanam']","['aplikasi', 'membantu', 'penipu', 'jahanam']","['aplikasi', 'bantu', 'tipu', 'jahanam']"
"Saya mencoba login beberapa kali ttp tidak bisa , saya jg sudah mencoba masuk lewat google, email, dan FB ttp ditolak server","saya mencoba login beberapa kali ttp tidak bisa , saya jg sudah mencoba masuk lewat google, email, dan fb ttp ditolak server",saya mencoba login beberapa kali ttp tidak bisa saya jg sudah mencoba masuk lewat google email dan fb ttp ditolak server,"['saya', 'mencoba', 'login', 'beberapa', 'kali', 'ttp', 'tidak', 'bisa', 'saya', 'jg', 'sudah', 'mencoba', 'masuk', 'lewat', 'google', 'email', 'dan', 'fb', 'ttp', 'ditolak', 'server']","['mencoba', 'login', 'kali', 'ttp', 'jg', 'mencoba', 'masuk', 'google', 'email', 'fb', 'ttp', 'ditolak', 'server']","['mencoba', 'login', 'kali', 'ttp', 'jg', 'mencoba', 'masuk', 'google', 'email', 'fb', 'ttp', 'ditolak', 'server']","['coba', 'login', 'kali', 'ttp', 'jg', 'coba', 'masuk', 'google', 'email', 'fb', 'ttp', 'tolak', 'server']"
Tidak bisa memasukkan nomer vertivikasi,tidak bisa memasukkan nomer vertivikasi,tidak bisa memasukkan nomer vertivikasi,"['tidak', 'bisa', 'memasukkan', 'nomer', 'vertivikasi']","['memasukkan', 'nomer', 'vertivikasi']","['memasukkan', 'nomer', 'vertivikasi']","['masuk', 'nomer', 'vertivikasi']"
Cukup membantu Terima kasih,cukup membantu terima kasih,cukup membantu terima kasih,"['cukup', 'membantu', 'terima', 'kasih']","['membantu', 'terima', 'kasih']","['membantu', 'terima', 'kasih']","['bantu', 'terima', 'kasih']"
Saya pernah diancam dan saya coba pakai gatcontact dan ternyata nomor ithu namanya monyet.,saya pernah diancam dan saya coba pakai gatcontact dan ternyata nomor ithu namanya monyet.,saya pernah diancam dan saya coba pakai gatcontact dan ternyata nomor ithu namanya monyet,"['saya', 'pernah', 'diancam', 'dan', 'saya', 'coba', 'pakai', 'gatcontact', 'dan', 'ternyata', 'nomor', 'ithu', 'namanya', 'monyet']","['diancam', 'coba', 'pakai', 'gatcontact', 'nomor', 'ithu', 'namanya', 'monyet']","['diancam', 'coba', 'pakai', 'gatcontact', 'nomor', 'ithu', 'namanya', 'monyet']","['ancam', 'coba', 'pakai', 'gatcontact', 'nomor', 'ithu', 'nama', 'monyet']"
Masa mau ganti nomor gabisa sih,masa mau ganti nomor gabisa sih,masa mau ganti nomor gabisa sih,"['masa', 'mau', 'ganti', 'nomor', 'gabisa', 'sih']","['ganti', 'nomor', 'gabisa']","['ganti', 'nomor', 'gabisa']","['ganti', 'nomor', 'gabisa']"
Mantap dan tepat sasaran plus membantu,mantap dan tepat sasaran plus membantu,mantap dan tepat sasaran plus membantu,"['mantap', 'dan', 'tepat', 'sasaran', 'plus', 'membantu']","['mantap', 'sasaran', 'plus', 'membantu']","['mantap', 'sasaran', 'plus', 'membantu']","['mantap', 'sasar', 'plus', 'bantu']"
Mantap sangat bermanfaat sekali.... lanjut kan trus,mantap sangat bermanfaat sekali.... lanjut kan trus,mantap sangat bermanfaat sekali lanjut kan trus,"['mantap', 'sangat', 'bermanfaat', 'sekali', 'lanjut', 'kan', 'trus']","['mantap', 'bermanfaat', 'trus']","['mantap', 'bermanfaat', 'trus']","['mantap', 'manfaat', 'trus']"
