rawContent,caseFolding,cleaning,tokenizing,stopword,normalized,stemmed
"Terima kasih, tolong iklan dikurangi","terima kasih, tolong iklan dikurangi",terima kasih tolong iklan dikurangi,"['terima', 'kasih', 'tolong', 'iklan', 'dikurangi']","['terima', 'kasih', 'tolong', 'iklan', 'dikurangi']","['terima', 'kasih', 'tolong', 'iklan', 'dikurangi']","['terima', 'kasih', 'tolong', 'iklan', 'rang']"
Baru aja buka udah banyak kendala gimana sih,baru aja buka udah banyak kendala gimana sih,baru aja buka udah banyak kendala gimana sih,"['baru', 'aja', 'buka', 'udah', 'banyak', 'kendala', 'gimana', 'sih']","['buka', 'udah', 'kendala', 'gimana']","['buka', 'udah', 'kendala', 'gimana']","['buka', 'udah', 'kendala', 'gimana']"
"Dengan ada nya aplikasi getcontact sangat""membantu pa lgi kl ada nomer yang tdk jelas,,,tanks getcontact👌🥰","dengan ada nya aplikasi getcontact sangat""membantu pa lgi kl ada nomer yang tdk jelas,,,tanks getcontact👌🥰",dengan ada nya aplikasi getcontact sangatmembantu pa lgi kl ada nomer yang tdk jelastanks getcontact,"['dengan', 'ada', 'nya', 'aplikasi', 'getcontact', 'sangatmembantu', 'pa', 'lgi', 'kl', 'ada', 'nomer', 'yang', 'tdk', 'jelastanks', 'getcontact']","['aplikasi', 'getcontact', 'sangatmembantu', 'pa', 'lgi', 'kl', 'nomer', 'jelastanks', 'getcontact']","['aplikasi', 'getcontact', 'sangatmembantu', 'pa', 'lgi', 'kl', 'nomer', 'jelastanks', 'getcontact']","['aplikasi', 'getcontact', 'sangatmembantu', 'pa', 'lgi', 'kl', 'nomer', 'jelastanks', 'getcontact']"
Fitur sangan bagua,fitur sangan bagua,fitur sangan bagua,"['fitur', 'sangan', 'bagua']","['fitur', 'sangan', 'bagua']","['fitur', 'sangan', 'bagua']","['fitur', 'sangan', 'bagua']"
Bikin malaaasss skrg aplikasi ini..👎👎👎👎👎👎,bikin malaaasss skrg aplikasi ini..👎👎👎👎👎👎,bikin malaaasss skrg aplikasi ini,"['bikin', 'malaaasss', 'skrg', 'aplikasi', 'ini']","['malaaasss', 'skrg', 'aplikasi']","['malaaasss', 'skrg', 'aplikasi']","['malaaasss', 'skrg', 'aplikasi']"
"Bagaimana ini kok bisa aplikasi ny jdi rusak,,dlu g ada iklan a taupun patah² walaw pun hp sya IP tetap patah²?? Apakah itu adil ,,maapin saya saya memberikan rating 1 karna saya sangat kecewa dgn aplikasi ny🙏mohon tuk di perbaiki","bagaimana ini kok bisa aplikasi ny jdi rusak,,dlu g ada iklan a taupun patah² walaw pun hp sya ip tetap patah²?? apakah itu adil ,,maapin saya saya memberikan rating 1 karna saya sangat kecewa dgn aplikasi ny🙏mohon tuk di perbaiki",bagaimana ini kok bisa aplikasi ny jdi rusakdlu g ada iklan a taupun patah walaw pun hp sya ip tetap patah apakah itu adil maapin saya saya memberikan rating karna saya sangat kecewa dgn aplikasi nymohon tuk di perbaiki,"['bagaimana', 'ini', 'kok', 'bisa', 'aplikasi', 'ny', 'jdi', 'rusakdlu', 'g', 'ada', 'iklan', 'a', 'taupun', 'patah', 'walaw', 'pun', 'hp', 'sya', 'ip', 'tetap', 'patah', 'apakah', 'itu', 'adil', 'maapin', 'saya', 'saya', 'memberikan', 'rating', 'karna', 'saya', 'sangat', 'kecewa', 'dgn', 'aplikasi', 'nymohon', 'tuk', 'di', 'perbaiki']","['aplikasi', 'jdi', 'rusakdlu', 'g', 'iklan', 'a', 'taupun', 'patah', 'walaw', 'hp', 'sya', 'ip', 'patah', 'adil', 'maapin', 'rating', 'karna', 'kecewa', 'aplikasi', 'nymohon', 'tuk', 'perbaiki']","['aplikasi', 'jdi', 'rusakdlu', 'g', 'iklan', 'a', 'taupun', 'patah', 'walaw', 'hp', 'sya', 'ip', 'patah', 'adil', 'maapin', 'rating', 'karna', 'kecewa', 'aplikasi', 'nymohon', 'tuk', 'perbaiki']","['aplikasi', 'jdi', 'rusakdlu', 'g', 'iklan', 'a', 'tau', 'patah', 'walaw', 'hp', 'sya', 'ip', 'patah', 'adil', 'maapin', 'rating', 'karna', 'kecewa', 'aplikasi', 'nymohon', 'tuk', 'baik']"
saya pingin melihat nomer orang untuk tingkat kepercayaan nya..tapi kok di suruh bayar ya.. terus apa gunanya aplikasi ini kalo tetap saya tidak tahu tingkat kepercayaan orang yang mau berhubungan dengan saya..,saya pingin melihat nomer orang untuk tingkat kepercayaan nya..tapi kok di suruh bayar ya.. terus apa gunanya aplikasi ini kalo tetap saya tidak tahu tingkat kepercayaan orang yang mau berhubungan dengan saya..,saya pingin melihat nomer orang untuk tingkat kepercayaan nyatapi kok di suruh bayar ya terus apa gunanya aplikasi ini kalo tetap saya tidak tahu tingkat kepercayaan orang yang mau berhubungan dengan saya,"['saya', 'pingin', 'melihat', 'nomer', 'orang', 'untuk', 'tingkat', 'kepercayaan', 'nyatapi', 'kok', 'di', 'suruh', 'bayar', 'ya', 'terus', 'apa', 'gunanya', 'aplikasi', 'ini', 'kalo', 'tetap', 'saya', 'tidak', 'tahu', 'tingkat', 'kepercayaan', 'orang', 'yang', 'mau', 'berhubungan', 'dengan', 'saya']","['pingin', 'nomer', 'orang', 'tingkat', 'kepercayaan', 'nyatapi', 'suruh', 'bayar', 'gunanya', 'aplikasi', 'tingkat', 'kepercayaan', 'orang', 'berhubungan']","['pingin', 'nomer', 'orang', 'tingkat', 'kepercayaan', 'nyatapi', 'suruh', 'bayar', 'gunanya', 'aplikasi', 'tingkat', 'kepercayaan', 'orang', 'berhubungan']","['pingin', 'nomer', 'orang', 'tingkat', 'percaya', 'nyatapi', 'suruh', 'bayar', 'guna', 'aplikasi', 'tingkat', 'percaya', 'orang', 'hubung']"
Banyak yang kasih bintang 1 . Emang mengecewakan sih .. harus berlangganan dulu .. mending fb.ig.w.a langsunh pake paket data . Kalo kayak gini yakin banget ratting turun dan semoga ada aplikasi lain yg bisa cek nomor tanpa berlangganan bulanan yg bikin ribet .,banyak yang kasih bintang 1 . emang mengecewakan sih .. harus berlangganan dulu .. mending fb.ig.w.a langsunh pake paket data . kalo kayak gini yakin banget ratting turun dan semoga ada aplikasi lain yg bisa cek nomor tanpa berlangganan bulanan yg bikin ribet .,banyak yang kasih bintang emang mengecewakan sih harus berlangganan dulu mending fbigwa langsunh pake paket data kalo kayak gini yakin banget ratting turun dan semoga ada aplikasi lain yg bisa cek nomor tanpa berlangganan bulanan yg bikin ribet,"['banyak', 'yang', 'kasih', 'bintang', 'emang', 'mengecewakan', 'sih', 'harus', 'berlangganan', 'dulu', 'mending', 'fbigwa', 'langsunh', 'pake', 'paket', 'data', 'kalo', 'kayak', 'gini', 'yakin', 'banget', 'ratting', 'turun', 'dan', 'semoga', 'ada', 'aplikasi', 'lain', 'yg', 'bisa', 'cek', 'nomor', 'tanpa', 'berlangganan', 'bulanan', 'yg', 'bikin', 'ribet']","['kasih', 'bintang', 'emang', 'mengecewakan', 'berlangganan', 'mending', 'fbigwa', 'langsunh', 'pake', 'paket', 'data', 'kayak', 'gini', 'banget', 'ratting', 'turun', 'semoga', 'aplikasi', 'cek', 'nomor', 'berlangganan', 'bulanan', 'ribet']","['kasih', 'bintang', 'emang', 'mengecewakan', 'berlangganan', 'mending', 'fbigwa', 'langsunh', 'pake', 'paket', 'data', 'kayak', 'gini', 'banget', 'ratting', 'turun', 'semoga', 'aplikasi', 'cek', 'nomor', 'berlangganan', 'bulanan', 'ribet']","['kasih', 'bintang', 'emang', 'kecewa', 'langgan', 'mending', 'fbigwa', 'langsunh', 'pake', 'paket', 'data', 'kayak', 'gin', 'banget', 'ratting', 'turun', 'moga', 'aplikasi', 'cek', 'nomor', 'langgan', 'bulan', 'ribet']"
Tidak ramah bintang satu apk bnyk iklan gak bisa masuk malah kluar truss bingung makin update makin kurang bagus .....,tidak ramah bintang satu apk bnyk iklan gak bisa masuk malah kluar truss bingung makin update makin kurang bagus .....,tidak ramah bintang satu apk bnyk iklan gak bisa masuk malah kluar truss bingung makin update makin kurang bagus,"['tidak', 'ramah', 'bintang', 'satu', 'apk', 'bnyk', 'iklan', 'gak', 'bisa', 'masuk', 'malah', 'kluar', 'truss', 'bingung', 'makin', 'update', 'makin', 'kurang', 'bagus']","['ramah', 'bintang', 'apk', 'bnyk', 'iklan', 'masuk', 'kluar', 'truss', 'bingung', 'update', 'bagus']","['ramah', 'bintang', 'apk', 'bnyk', 'iklan', 'masuk', 'kluar', 'truss', 'bingung', 'update', 'bagus']","['ramah', 'bintang', 'apk', 'bnyk', 'iklan', 'masuk', 'kluar', 'truss', 'bingung', 'update', 'bagus']"
"Pulsa kepotong 36.000 tanpa pemberitahuan, harusnya konfirmasi dulu mau dilanjut langganan apa gak , sudah terlanjur premium kesedot pulsa eh dibatasi ga bisa liat seluruh kontak , cuma bsa liat siapa yg liat kontak saya","pulsa kepotong 36.000 tanpa pemberitahuan, harusnya konfirmasi dulu mau dilanjut langganan apa gak , sudah terlanjur premium kesedot pulsa eh dibatasi ga bisa liat seluruh kontak , cuma bsa liat siapa yg liat kontak saya",pulsa kepotong tanpa pemberitahuan harusnya konfirmasi dulu mau dilanjut langganan apa gak sudah terlanjur premium kesedot pulsa eh dibatasi ga bisa liat seluruh kontak cuma bsa liat siapa yg liat kontak saya,"['pulsa', 'kepotong', 'tanpa', 'pemberitahuan', 'harusnya', 'konfirmasi', 'dulu', 'mau', 'dilanjut', 'langganan', 'apa', 'gak', 'sudah', 'terlanjur', 'premium', 'kesedot', 'pulsa', 'eh', 'dibatasi', 'ga', 'bisa', 'liat', 'seluruh', 'kontak', 'cuma', 'bsa', 'liat', 'siapa', 'yg', 'liat', 'kontak', 'saya']","['pulsa', 'kepotong', 'pemberitahuan', 'konfirmasi', 'dilanjut', 'langganan', 'terlanjur', 'premium', 'kesedot', 'pulsa', 'dibatasi', 'liat', 'kontak', 'bsa', 'liat', 'liat', 'kontak']","['pulsa', 'kepotong', 'pemberitahuan', 'konfirmasi', 'dilanjut', 'langganan', 'terlanjur', 'premium', 'kesedot', 'pulsa', 'dibatasi', 'liat', 'kontak', 'bsa', 'liat', 'liat', 'kontak']","['pulsa', 'potong', 'pemberitahuan', 'konfirmasi', 'lanjut', 'langgan', 'lanjur', 'premium', 'sedot', 'pulsa', 'batas', 'liat', 'kontak', 'bsa', 'liat', 'liat', 'kontak']"
Kenapa tidak bisa registrasi padahal sudah mengikuti instruksinya. Di suruh nunggu telefon tapi tidak pernah ada tlp masuk. 2x download tp semua sama saja,kenapa tidak bisa registrasi padahal sudah mengikuti instruksinya. di suruh nunggu telefon tapi tidak pernah ada tlp masuk. 2x download tp semua sama saja,kenapa tidak bisa registrasi padahal sudah mengikuti instruksinya di suruh nunggu telefon tapi tidak pernah ada tlp masuk x download tp semua sama saja,"['kenapa', 'tidak', 'bisa', 'registrasi', 'padahal', 'sudah', 'mengikuti', 'instruksinya', 'di', 'suruh', 'nunggu', 'telefon', 'tapi', 'tidak', 'pernah', 'ada', 'tlp', 'masuk', 'x', 'download', 'tp', 'semua', 'sama', 'saja']","['registrasi', 'mengikuti', 'instruksinya', 'suruh', 'nunggu', 'telefon', 'tlp', 'masuk', 'x', 'download', 'tp']","['registrasi', 'mengikuti', 'instruksinya', 'suruh', 'nunggu', 'telefon', 'tlp', 'masuk', 'x', 'download', 'tp']","['registrasi', 'ikut', 'instruksi', 'suruh', 'nunggu', 'telefon', 'tlp', 'masuk', 'x', 'download', 'tp']"
Aplikasi ini sangat bagusss,aplikasi ini sangat bagusss,aplikasi ini sangat bagusss,"['aplikasi', 'ini', 'sangat', 'bagusss']","['aplikasi', 'bagusss']","['aplikasi', 'bagusss']","['aplikasi', 'bagusss']"
Mantap bgt bisa tau nomor penipu,mantap bgt bisa tau nomor penipu,mantap bgt bisa tau nomor penipu,"['mantap', 'bgt', 'bisa', 'tau', 'nomor', 'penipu']","['mantap', 'bgt', 'nomor', 'penipu']","['mantap', 'bgt', 'nomor', 'penipu']","['mantap', 'bgt', 'nomor', 'tipu']"
"Dikira tidak berbayar, nyatanya berbayar. Tidak sesuai dengan aspektasi saya. Dan juga tidak bisa melacak no handphone dari luar negeri. Mengecewakan","dikira tidak berbayar, nyatanya berbayar. tidak sesuai dengan aspektasi saya. dan juga tidak bisa melacak no handphone dari luar negeri. mengecewakan",dikira tidak berbayar nyatanya berbayar tidak sesuai dengan aspektasi saya dan juga tidak bisa melacak no handphone dari luar negeri mengecewakan,"['dikira', 'tidak', 'berbayar', 'nyatanya', 'berbayar', 'tidak', 'sesuai', 'dengan', 'aspektasi', 'saya', 'dan', 'juga', 'tidak', 'bisa', 'melacak', 'no', 'handphone', 'dari', 'luar', 'negeri', 'mengecewakan']","['berbayar', 'berbayar', 'sesuai', 'aspektasi', 'melacak', 'no', 'handphone', 'negeri', 'mengecewakan']","['berbayar', 'berbayar', 'sesuai', 'aspektasi', 'melacak', 'no', 'handphone', 'negeri', 'mengecewakan']","['bayar', 'bayar', 'sesuai', 'aspektasi', 'lacak', 'no', 'handphone', 'negeri', 'kecewa']"
"Sangat membantu saat ada yg menelpon tetapi yg tertera nomer bukan nama, atau dengan kata lain nomer tersebut belum disave.","sangat membantu saat ada yg menelpon tetapi yg tertera nomer bukan nama, atau dengan kata lain nomer tersebut belum disave.",sangat membantu saat ada yg menelpon tetapi yg tertera nomer bukan nama atau dengan kata lain nomer tersebut belum disave,"['sangat', 'membantu', 'saat', 'ada', 'yg', 'menelpon', 'tetapi', 'yg', 'tertera', 'nomer', 'bukan', 'nama', 'atau', 'dengan', 'kata', 'lain', 'nomer', 'tersebut', 'belum', 'disave']","['membantu', 'menelpon', 'tertera', 'nomer', 'nama', 'nomer', 'disave']","['membantu', 'menelpon', 'tertera', 'nomer', 'nama', 'nomer', 'disave']","['bantu', 'telpon', 'tera', 'nomer', 'nama', 'nomer', 'disave']"
Aplikasi yang bagus!,aplikasi yang bagus!,aplikasi yang bagus,"['aplikasi', 'yang', 'bagus']","['aplikasi', 'bagus']","['aplikasi', 'bagus']","['aplikasi', 'bagus']"
thanks ya Getcontact.. gw akhirnya tahu identitas selingkuhan pasangan gw .. 😅,thanks ya getcontact.. gw akhirnya tahu identitas selingkuhan pasangan gw .. 😅,thanks ya getcontact gw akhirnya tahu identitas selingkuhan pasangan gw,"['thanks', 'ya', 'getcontact', 'gw', 'akhirnya', 'tahu', 'identitas', 'selingkuhan', 'pasangan', 'gw']","['thanks', 'getcontact', 'gw', 'identitas', 'selingkuhan', 'pasangan', 'gw']","['thanks', 'getcontact', 'gw', 'identitas', 'selingkuhan', 'pasangan', 'gw']","['thanks', 'getcontact', 'gw', 'identitas', 'selingkuh', 'pasang', 'gw']"
Aplikasi nya oke mantap,aplikasi nya oke mantap,aplikasi nya oke mantap,"['aplikasi', 'nya', 'oke', 'mantap']","['aplikasi', 'oke', 'mantap']","['aplikasi', 'oke', 'mantap']","['aplikasi', 'oke', 'mantap']"
"Sangat membantu, walupun kadang bertanya tanya ko bisa dapetin data nya 😁","sangat membantu, walupun kadang bertanya tanya ko bisa dapetin data nya 😁",sangat membantu walupun kadang bertanya tanya ko bisa dapetin data nya,"['sangat', 'membantu', 'walupun', 'kadang', 'bertanya', 'tanya', 'ko', 'bisa', 'dapetin', 'data', 'nya']","['membantu', 'walupun', 'kadang', 'ko', 'dapetin', 'data']","['membantu', 'walupun', 'kadang', 'ko', 'dapetin', 'data']","['bantu', 'walupun', 'kadang', 'ko', 'dapetin', 'data']"
Saya daftar gagal terus,saya daftar gagal terus,saya daftar gagal terus,"['saya', 'daftar', 'gagal', 'terus']","['daftar', 'gagal']","['daftar', 'gagal']","['daftar', 'gagal']"
Amplikasi yang mempunyai prestasi dan manfaat,amplikasi yang mempunyai prestasi dan manfaat,amplikasi yang mempunyai prestasi dan manfaat,"['amplikasi', 'yang', 'mempunyai', 'prestasi', 'dan', 'manfaat']","['amplikasi', 'prestasi', 'manfaat']","['amplikasi', 'prestasi', 'manfaat']","['amplikasi', 'prestasi', 'manfaat']"
susah bgt anjr mau log in aja.,susah bgt anjr mau log in aja.,susah bgt anjr mau log in aja,"['susah', 'bgt', 'anjr', 'mau', 'log', 'in', 'aja']","['susah', 'bgt', 'anjr', 'log']","['susah', 'bgt', 'anjr', 'log']","['susah', 'bgt', 'anjr', 'log']"
"Kacau apk nya , ga bisa login masa","kacau apk nya , ga bisa login masa",kacau apk nya ga bisa login masa,"['kacau', 'apk', 'nya', 'ga', 'bisa', 'login', 'masa']","['kacau', 'apk', 'login']","['kacau', 'apk', 'login']","['kacau', 'apk', 'login']"
Kenapa ya kode verifikasi nya ga ada,kenapa ya kode verifikasi nya ga ada,kenapa ya kode verifikasi nya ga ada,"['kenapa', 'ya', 'kode', 'verifikasi', 'nya', 'ga', 'ada']","['kode', 'verifikasi']","['kode', 'verifikasi']","['kode', 'verifikasi']"
"Apk ini sngat mengecewakan, stlh update apknya sngt jelek.. Trllu byk iklan","apk ini sngat mengecewakan, stlh update apknya sngt jelek.. trllu byk iklan",apk ini sngat mengecewakan stlh update apknya sngt jelek trllu byk iklan,"['apk', 'ini', 'sngat', 'mengecewakan', 'stlh', 'update', 'apknya', 'sngt', 'jelek', 'trllu', 'byk', 'iklan']","['apk', 'sngat', 'mengecewakan', 'stlh', 'update', 'apknya', 'sngt', 'jelek', 'trllu', 'byk', 'iklan']","['apk', 'sngat', 'mengecewakan', 'stlh', 'update', 'apknya', 'sngt', 'jelek', 'trllu', 'byk', 'iklan']","['apk', 'sngat', 'kecewa', 'stlh', 'update', 'apknya', 'sngt', 'jelek', 'trllu', 'byk', 'iklan']"
apkny mmbntu tp knp dibatasi dan jika sudah habis batasannya disuruh bayar,apkny mmbntu tp knp dibatasi dan jika sudah habis batasannya disuruh bayar,apkny mmbntu tp knp dibatasi dan jika sudah habis batasannya disuruh bayar,"['apkny', 'mmbntu', 'tp', 'knp', 'dibatasi', 'dan', 'jika', 'sudah', 'habis', 'batasannya', 'disuruh', 'bayar']","['apkny', 'mmbntu', 'tp', 'knp', 'dibatasi', 'habis', 'batasannya', 'disuruh', 'bayar']","['apkny', 'mmbntu', 'tp', 'knp', 'dibatasi', 'habis', 'batasannya', 'disuruh', 'bayar']","['apkny', 'mmbntu', 'tp', 'knp', 'batas', 'habis', 'batas', 'suruh', 'bayar']"
Mantap sangat membantu,mantap sangat membantu,mantap sangat membantu,"['mantap', 'sangat', 'membantu']","['mantap', 'membantu']","['mantap', 'membantu']","['mantap', 'bantu']"
Tolong berentikan langganan premium min . .enak aja main potong otomatis gajelas,tolong berentikan langganan premium min . .enak aja main potong otomatis gajelas,tolong berentikan langganan premium min enak aja main potong otomatis gajelas,"['tolong', 'berentikan', 'langganan', 'premium', 'min', 'enak', 'aja', 'main', 'potong', 'otomatis', 'gajelas']","['tolong', 'berentikan', 'langganan', 'premium', 'min', 'enak', 'main', 'potong', 'otomatis', 'gajelas']","['tolong', 'berentikan', 'langganan', 'premium', 'min', 'enak', 'main', 'potong', 'otomatis', 'gajelas']","['tolong', 'renti', 'langgan', 'premium', 'min', 'enak', 'main', 'potong', 'otomatis', 'gajelas']"
Bagus tapi sayang tidak bisa melihat yang namain siapa,bagus tapi sayang tidak bisa melihat yang namain siapa,bagus tapi sayang tidak bisa melihat yang namain siapa,"['bagus', 'tapi', 'sayang', 'tidak', 'bisa', 'melihat', 'yang', 'namain', 'siapa']","['bagus', 'sayang', 'namain']","['bagus', 'sayang', 'namain']","['bagus', 'sayang', 'namain']"
Lumayan membantu utk mengetahui kontak yg tdk tersimpan di hp,lumayan membantu utk mengetahui kontak yg tdk tersimpan di hp,lumayan membantu utk mengetahui kontak yg tdk tersimpan di hp,"['lumayan', 'membantu', 'utk', 'mengetahui', 'kontak', 'yg', 'tdk', 'tersimpan', 'di', 'hp']","['lumayan', 'membantu', 'kontak', 'tersimpan', 'hp']","['lumayan', 'membantu', 'kontak', 'tersimpan', 'hp']","['lumayan', 'bantu', 'kontak', 'simpan', 'hp']"
Sangat membantu untuk melihat nomor2 yg tidak jelas. Tapi sekarang dikenakan tarif🧐🧐😔,sangat membantu untuk melihat nomor2 yg tidak jelas. tapi sekarang dikenakan tarif🧐🧐😔,sangat membantu untuk melihat nomor yg tidak jelas tapi sekarang dikenakan tarif,"['sangat', 'membantu', 'untuk', 'melihat', 'nomor', 'yg', 'tidak', 'jelas', 'tapi', 'sekarang', 'dikenakan', 'tarif']","['membantu', 'nomor', 'dikenakan', 'tarif']","['membantu', 'nomor', 'dikenakan', 'tarif']","['bantu', 'nomor', 'kena', 'tarif']"
Aplikasi nya sangat bagus,aplikasi nya sangat bagus,aplikasi nya sangat bagus,"['aplikasi', 'nya', 'sangat', 'bagus']","['aplikasi', 'bagus']","['aplikasi', 'bagus']","['aplikasi', 'bagus']"
Yampun parah banget udh bener no telpon nya malah ga di telfon² sampe udh validasi banyak bgt gimana sih mau login aja gabisa benerin lah,yampun parah banget udh bener no telpon nya malah ga di telfon² sampe udh validasi banyak bgt gimana sih mau login aja gabisa benerin lah,yampun parah banget udh bener no telpon nya malah ga di telfon sampe udh validasi banyak bgt gimana sih mau login aja gabisa benerin lah,"['yampun', 'parah', 'banget', 'udh', 'bener', 'no', 'telpon', 'nya', 'malah', 'ga', 'di', 'telfon', 'sampe', 'udh', 'validasi', 'banyak', 'bgt', 'gimana', 'sih', 'mau', 'login', 'aja', 'gabisa', 'benerin', 'lah']","['yampun', 'parah', 'banget', 'udh', 'bener', 'no', 'telpon', 'telfon', 'sampe', 'udh', 'validasi', 'bgt', 'gimana', 'login', 'gabisa', 'benerin']","['yampun', 'parah', 'banget', 'udh', 'bener', 'no', 'telpon', 'telfon', 'sampe', 'udh', 'validasi', 'bgt', 'gimana', 'login', 'gabisa', 'benerin']","['yampun', 'parah', 'banget', 'udh', 'bener', 'no', 'telpon', 'telfon', 'sampe', 'udh', 'validasi', 'bgt', 'gimana', 'login', 'gabisa', 'benerin']"
Mantaf dah ... cukup membantu - cuman kuota gratisnya dikit 🤭😅,mantaf dah ... cukup membantu - cuman kuota gratisnya dikit 🤭😅,mantaf dah cukup membantu cuman kuota gratisnya dikit,"['mantaf', 'dah', 'cukup', 'membantu', 'cuman', 'kuota', 'gratisnya', 'dikit']","['mantaf', 'dah', 'membantu', 'cuman', 'kuota', 'gratisnya', 'dikit']","['mantaf', 'dah', 'membantu', 'cuman', 'kuota', 'gratisnya', 'dikit']","['mantaf', 'dah', 'bantu', 'cuman', 'kuota', 'gratis', 'dikit']"
"Karena saya baru aja pakai aplikasi ini jadi saya 4 dulu ya,makasih getcontact berkat aplikasi ini saya tau nama saya dikontak hp saya","karena saya baru aja pakai aplikasi ini jadi saya 4 dulu ya,makasih getcontact berkat aplikasi ini saya tau nama saya dikontak hp saya",karena saya baru aja pakai aplikasi ini jadi saya dulu yamakasih getcontact berkat aplikasi ini saya tau nama saya dikontak hp saya,"['karena', 'saya', 'baru', 'aja', 'pakai', 'aplikasi', 'ini', 'jadi', 'saya', 'dulu', 'yamakasih', 'getcontact', 'berkat', 'aplikasi', 'ini', 'saya', 'tau', 'nama', 'saya', 'dikontak', 'hp', 'saya']","['pakai', 'aplikasi', 'yamakasih', 'getcontact', 'berkat', 'aplikasi', 'nama', 'dikontak', 'hp']","['pakai', 'aplikasi', 'yamakasih', 'getcontact', 'berkat', 'aplikasi', 'nama', 'dikontak', 'hp']","['pakai', 'aplikasi', 'yamakasih', 'getcontact', 'berkat', 'aplikasi', 'nama', 'kontak', 'hp']"
Padahal kontak saya banyak tapi yang muncul gak sampe belasan tolong di perbaiki lagi soalnya saya ngechat ketemen saya save nomor aku apa tidak ada di getcontact 🙏,padahal kontak saya banyak tapi yang muncul gak sampe belasan tolong di perbaiki lagi soalnya saya ngechat ketemen saya save nomor aku apa tidak ada di getcontact 🙏,padahal kontak saya banyak tapi yang muncul gak sampe belasan tolong di perbaiki lagi soalnya saya ngechat ketemen saya save nomor aku apa tidak ada di getcontact,"['padahal', 'kontak', 'saya', 'banyak', 'tapi', 'yang', 'muncul', 'gak', 'sampe', 'belasan', 'tolong', 'di', 'perbaiki', 'lagi', 'soalnya', 'saya', 'ngechat', 'ketemen', 'saya', 'save', 'nomor', 'aku', 'apa', 'tidak', 'ada', 'di', 'getcontact']","['kontak', 'muncul', 'sampe', 'belasan', 'tolong', 'perbaiki', 'ngechat', 'ketemen', 'save', 'nomor', 'getcontact']","['kontak', 'muncul', 'sampe', 'belasan', 'tolong', 'perbaiki', 'ngechat', 'ketemen', 'save', 'nomor', 'getcontact']","['kontak', 'muncul', 'sampe', 'bas', 'tolong', 'baik', 'ngechat', 'ketemen', 'save', 'nomor', 'getcontact']"
Kenapa harus berbayar? Cumn mau liat penanda pada nomer orng dong tuh baru download udh gini aja biasa nya di aplikasi lain tuh 1bulan atau ga lebih lah ini apaan baru di pke 1 hari udh gini aja ga jelas bgt aplikasi nya,kenapa harus berbayar? cumn mau liat penanda pada nomer orng dong tuh baru download udh gini aja biasa nya di aplikasi lain tuh 1bulan atau ga lebih lah ini apaan baru di pke 1 hari udh gini aja ga jelas bgt aplikasi nya,kenapa harus berbayar cumn mau liat penanda pada nomer orng dong tuh baru download udh gini aja biasa nya di aplikasi lain tuh bulan atau ga lebih lah ini apaan baru di pke hari udh gini aja ga jelas bgt aplikasi nya,"['kenapa', 'harus', 'berbayar', 'cumn', 'mau', 'liat', 'penanda', 'pada', 'nomer', 'orng', 'dong', 'tuh', 'baru', 'download', 'udh', 'gini', 'aja', 'biasa', 'nya', 'di', 'aplikasi', 'lain', 'tuh', 'bulan', 'atau', 'ga', 'lebih', 'lah', 'ini', 'apaan', 'baru', 'di', 'pke', 'hari', 'udh', 'gini', 'aja', 'ga', 'jelas', 'bgt', 'aplikasi', 'nya']","['berbayar', 'cumn', 'liat', 'penanda', 'nomer', 'orng', 'download', 'udh', 'gini', 'aplikasi', 'pke', 'udh', 'gini', 'bgt', 'aplikasi']","['berbayar', 'cumn', 'liat', 'penanda', 'nomer', 'orng', 'download', 'udh', 'gini', 'aplikasi', 'pke', 'udh', 'gini', 'bgt', 'aplikasi']","['bayar', 'cumn', 'liat', 'tanda', 'nomer', 'orng', 'download', 'udh', 'gin', 'aplikasi', 'pke', 'udh', 'gin', 'bgt', 'aplikasi']"
Bagus bisa lihat nama orang orang,bagus bisa lihat nama orang orang,bagus bisa lihat nama orang orang,"['bagus', 'bisa', 'lihat', 'nama', 'orang', 'orang']","['bagus', 'lihat', 'nama', 'orang', 'orang']","['bagus', 'lihat', 'nama', 'orang', 'orang']","['bagus', 'lihat', 'nama', 'orang', 'orang']"
