,rawContent,caseFolding,cleaning,tokenizing,tweet_tokens_fdist,stopword,tweet_tokens_normalized,tweet_tokens_stemmed
59,game mobile legends adalah game terbaik yang saya mainkan dari awal rilis sampe sekarang,game mobile legends adalah game terbaik yang saya mainkan dari awal rilis sampe sekarang,game mobile legends adalah game terbaik yang saya mainkan dari awal rilis sampe sekarang,"['game', 'mobile', 'legends', 'adalah', 'game', 'terbaik', 'yang', 'saya', 'mainkan', 'dari', 'awal', 'rilis', 'sampe', 'sekarang']",<FreqDist with 13 samples and 14 outcomes>,"['game', 'mobile', 'legends', 'game', 'terbaik', 'mainkan', 'rilis', 'sampe']","['gim,', 'mobile', 'legends', 'gim,', 'terbaik', 'mainkan', 'rilis', 'sampai,']","['gim', 'mobile', 'legends', 'gim', 'baik', 'main', 'rilis', 'sampai']"
60,mlbb sangat keren bagus. Banyak skin gratis yang dapat diperoleh dari event tertentu. Heronya jg bnyak,mlbb sangat keren bagus. banyak skin gratis yang dapat diperoleh dari event tertentu. heronya jg bnyak,mlbb sangat keren bagus banyak skin gratis yang dapat diperoleh dari event tertentu heronya jg bnyak,"['mlbb', 'sangat', 'keren', 'bagus', 'banyak', 'skin', 'gratis', 'yang', 'dapat', 'diperoleh', 'dari', 'event', 'tertentu', 'heronya', 'jg', 'bnyak']",<FreqDist with 16 samples and 16 outcomes>,"['mlbb', 'keren', 'bagus', 'skin', 'gratis', 'diperoleh', 'event', 'heronya', 'jg', 'bnyak']","['mlbb', 'keren', 'bagus', 'skin', 'gratis', 'diperoleh', 'kegiatan,', 'heronya', 'juga,', 'bnyak']","['mlbb', 'keren', 'bagus', 'skin', 'gratis', 'oleh', 'giat', 'hero', 'juga', 'bnyak']"
61,saya seneng banget main game ini selalu saya mainkan setiap saat dengan grafik yang semakin bagus,saya seneng banget main game ini selalu saya mainkan setiap saat dengan grafik yang semakin bagus,saya seneng banget main game ini selalu saya mainkan setiap saat dengan grafik yang semakin bagus,"['saya', 'seneng', 'banget', 'main', 'game', 'ini', 'selalu', 'saya', 'mainkan', 'setiap', 'saat', 'dengan', 'grafik', 'yang', 'semakin', 'bagus']",<FreqDist with 15 samples and 16 outcomes>,"['seneng', 'banget', 'main', 'game', 'mainkan', 'grafik', 'bagus']","['senang,', 'banget', 'main', 'gim,', 'mainkan', 'grafik', 'bagus']","['senang', 'banget', 'main', 'gim', 'main', 'grafik', 'bagus']"
62,game nya keren palagi sekarang sedang ada event yg sangat menarik,game nya keren palagi sekarang sedang ada event yg sangat menarik,game nya keren palagi sekarang sedang ada event yg sangat menarik,"['game', 'nya', 'keren', 'palagi', 'sekarang', 'sedang', 'ada', 'event', 'yg', 'sangat', 'menarik']",<FreqDist with 11 samples and 11 outcomes>,"['game', 'keren', 'palagi', 'event', 'menarik']","['gim,', 'keren', 'palagi', 'kegiatan,', 'menarik']","['gim', 'keren', 'palagi', 'giat', 'tarik']"
63,setelah update keren. Jaringan stabil grafik mantap. Rekan satu tim juga udah seimbang luar biasa,setelah update keren. jaringan stabil grafik mantap. rekan satu tim juga udah seimbang luar biasa,setelah update keren jaringan stabil grafik mantap rekan satu tim juga udah seimbang luar biasa,"['setelah', 'update', 'keren', 'jaringan', 'stabil', 'grafik', 'mantap', 'rekan', 'satu', 'tim', 'juga', 'udah', 'seimbang', 'luar', 'biasa']",<FreqDist with 15 samples and 15 outcomes>,"['update', 'keren', 'jaringan', 'stabil', 'grafik', 'mantap', 'rekan', 'tim', 'udah', 'seimbang']","['update', 'keren', 'jaringan', 'stabil', 'grafik', 'mantap', 'teman,', 'tim', 'sudah,', 'seimbang']","['update', 'keren', 'jaring', 'stabil', 'grafik', 'mantap', 'teman', 'tim', 'sudah', 'imbang']"
64,game bagus banget dan grafis juga keren. Yg gak download rugi banget tidak boros baterai. Saya kasih bintang 5 karena terbukti bagus dan nyaman saat dimainkan,game bagus banget dan grafis juga keren. yg gak download rugi banget tidak boros baterai. saya kasih bintang 5 karena terbukti bagus dan nyaman saat dimainkan,game bagus banget dan grafis juga keren yg gak download rugi banget tidak boros baterai saya kasih bintang karena terbukti bagus dan nyaman saat dimainkan,"['game', 'bagus', 'banget', 'dan', 'grafis', 'juga', 'keren', 'yg', 'gak', 'download', 'rugi', 'banget', 'tidak', 'boros', 'baterai', 'saya', 'kasih', 'bintang', 'karena', 'terbukti', 'bagus', 'dan', 'nyaman', 'saat', 'dimainkan']",<FreqDist with 22 samples and 25 outcomes>,"['game', 'bagus', 'banget', 'grafis', 'keren', 'download', 'rugi', 'banget', 'boros', 'baterai', 'kasih', 'bintang', 'terbukti', 'bagus', 'nyaman', 'dimainkan']","['gim,', 'bagus', 'banget', 'grafis', 'keren', 'unduh,', 'rugi', 'banget', 'boros', 'baterai', 'kasih', 'bintang', 'terbukti', 'bagus', 'nyaman', 'dimainkan']","['gim', 'bagus', 'banget', 'grafis', 'keren', 'unduh', 'rugi', 'banget', 'boros', 'baterai', 'kasih', 'bintang', 'bukti', 'bagus', 'nyaman', 'main']"
65,saya sangat senang untuk bermain game ini karena dapat mengisi waktu luang saya. Game nya keren deh pokoknya semangat terus moonton,saya sangat senang untuk bermain game ini karena dapat mengisi waktu luang saya. game nya keren deh pokoknya semangat terus moonton,saya sangat senang untuk bermain game ini karena dapat mengisi waktu luang saya game nya keren deh pokoknya semangat terus moonton,"['saya', 'sangat', 'senang', 'untuk', 'bermain', 'game', 'ini', 'karena', 'dapat', 'mengisi', 'waktu', 'luang', 'saya', 'game', 'nya', 'keren', 'deh', 'pokoknya', 'semangat', 'terus', 'moonton']",<FreqDist with 19 samples and 21 outcomes>,"['senang', 'bermain', 'game', 'mengisi', 'luang', 'game', 'keren', 'deh', 'pokoknya', 'semangat', 'moonton']","['senang', 'bermain', 'gim,', 'mengisi', 'luang', 'gim,', 'keren', 'deh', 'pokoknya', 'semangat', 'moonton']","['senang', 'main', 'gim', 'isi', 'luang', 'gim', 'keren', 'deh', 'pokok', 'semangat', 'moonton']"
66,wah permainan ini sangatlah keren dan menyengankan. Saya sudah menang beberapa kali. Terima kasih sudah membuat game yg sangat keren ini,wah permainan ini sangatlah keren dan menyengankan. saya sudah menang beberapa kali. terima kasih sudah membuat game yg sangat keren ini,wah permainan ini sangatlah keren dan menyengankan saya sudah menang beberapa kali terima kasih sudah membuat game yg sangat keren ini,"['wah', 'permainan', 'ini', 'sangatlah', 'keren', 'dan', 'menyengankan', 'saya', 'sudah', 'menang', 'beberapa', 'kali', 'terima', 'kasih', 'sudah', 'membuat', 'game', 'yg', 'sangat', 'keren', 'ini']",<FreqDist with 18 samples and 21 outcomes>,"['permainan', 'keren', 'menyengankan', 'menang', 'kali', 'terima', 'kasih', 'game', 'keren']","['permainan', 'keren', 'menyengankan', 'menang', 'kali', 'terima', 'kasih', 'gim,', 'keren']","['main', 'keren', 'menyengankan', 'menang', 'kali', 'terima', 'kasih', 'gim', 'keren']"
67,"masih menjadi game seru sampai saat ini, apalagi sekarang event event gratis banyak banget makin buat pemain betah memainkannya","masih menjadi game seru sampai saat ini, apalagi sekarang event event gratis banyak banget makin buat pemain betah memainkannya",masih menjadi game seru sampai saat ini apalagi sekarang event event gratis banyak banget makin buat pemain betah memainkannya,"['masih', 'menjadi', 'game', 'seru', 'sampai', 'saat', 'ini', 'apalagi', 'sekarang', 'event', 'event', 'gratis', 'banyak', 'banget', 'makin', 'buat', 'pemain', 'betah', 'memainkannya']",<FreqDist with 18 samples and 19 outcomes>,"['game', 'seru', 'event', 'event', 'gratis', 'banget', 'pemain', 'betah', 'memainkannya']","['gim,', 'seru', 'kegiatan,', 'kegiatan,', 'gratis', 'banget', 'pemain,', 'nyaman,', 'memainkannya']","['gim', 'seru', 'giat', 'giat', 'gratis', 'banget', 'main', 'nyaman', 'main']"
68,selain melatih komunikasi. Manfaat mobile legend adalah mengajarkan lo pentingnya kerja sama tim. Dan ini sangat berguna pada kehidupan sehari hari,selain melatih komunikasi. manfaat mobile legend adalah mengajarkan lo pentingnya kerja sama tim. dan ini sangat berguna pada kehidupan sehari hari,selain melatih komunikasi manfaat mobile legend adalah mengajarkan lo pentingnya kerja sama tim dan ini sangat berguna pada kehidupan sehari hari,"['selain', 'melatih', 'komunikasi', 'manfaat', 'mobile', 'legend', 'adalah', 'mengajarkan', 'lo', 'pentingnya', 'kerja', 'sama', 'tim', 'dan', 'ini', 'sangat', 'berguna', 'pada', 'kehidupan', 'sehari', 'hari']",<FreqDist with 21 samples and 21 outcomes>,"['melatih', 'komunikasi', 'manfaat', 'mobile', 'legend', 'mengajarkan', 'lo', 'kerja', 'tim', 'berguna', 'kehidupan', 'sehari']","['melatih', 'komunikasi', 'manfaat', 'mobile', 'legend', 'mengajarkan', 'kamu,', 'kerja', 'tim', 'berguna', 'kehidupan', 'sehari']","['latih', 'komunikasi', 'manfaat', 'mobile', 'legend', 'ajar', 'kamu', 'kerja', 'tim', 'guna', 'hidup', 'hari']"
69,gamenya bagus dan seru. Banyak hero yg bisa dimainkian. Grafik semakin bagus dari dulu,gamenya bagus dan seru. banyak hero yg bisa dimainkian. grafik semakin bagus dari dulu,gamenya bagus dan seru banyak hero yg bisa dimainkian grafik semakin bagus dari dulu,"['gamenya', 'bagus', 'dan', 'seru', 'banyak', 'hero', 'yg', 'bisa', 'dimainkian', 'grafik', 'semakin', 'bagus', 'dari', 'dulu']",<FreqDist with 13 samples and 14 outcomes>,"['gamenya', 'bagus', 'seru', 'hero', 'dimainkian', 'grafik', 'bagus']","['gim,', 'bagus', 'seru', 'hero', 'dimainkian', 'grafik', 'bagus']","['gim', 'bagus', 'seru', 'hero', 'dimainkian', 'grafik', 'bagus']"
70,sangat seru saya suka dengan game ini karena bisa bermain bersama teman. Dan juga game ini memiliki grafis yang bagus dan bisa diatur,sangat seru saya suka dengan game ini karena bisa bermain bersama teman. dan juga game ini memiliki grafis yang bagus dan bisa diatur,sangat seru saya suka dengan game ini karena bisa bermain bersama teman dan juga game ini memiliki grafis yang bagus dan bisa diatur,"['sangat', 'seru', 'saya', 'suka', 'dengan', 'game', 'ini', 'karena', 'bisa', 'bermain', 'bersama', 'teman', 'dan', 'juga', 'game', 'ini', 'memiliki', 'grafis', 'yang', 'bagus', 'dan', 'bisa', 'diatur']",<FreqDist with 19 samples and 23 outcomes>,"['seru', 'suka', 'game', 'bermain', 'teman', 'game', 'memiliki', 'grafis', 'bagus', 'diatur']","['seru', 'suka', 'gim,', 'bermain', 'teman', 'gim,', 'memiliki', 'grafis', 'bagus', 'diatur']","['seru', 'suka', 'gim', 'main', 'teman', 'gim', 'milik', 'grafis', 'bagus', 'atur']"
71,game ini seru banget bisa main bersam teman dan bisa dapat teman yang banyak dari gameini dan juga bisa menghasilkan bnyak uang dari game ini,game ini seru banget bisa main bersam teman dan bisa dapat teman yang banyak dari gameini dan juga bisa menghasilkan bnyak uang dari game ini,game ini seru banget bisa main bersam teman dan bisa dapat teman yang banyak dari gameini dan juga bisa menghasilkan bnyak uang dari game ini,"['game', 'ini', 'seru', 'banget', 'bisa', 'main', 'bersam', 'teman', 'dan', 'bisa', 'dapat', 'teman', 'yang', 'banyak', 'dari', 'gameini', 'dan', 'juga', 'bisa', 'menghasilkan', 'bnyak', 'uang', 'dari', 'game', 'ini']",<FreqDist with 18 samples and 25 outcomes>,"['game', 'seru', 'banget', 'main', 'bersam', 'teman', 'teman', 'gameini', 'menghasilkan', 'bnyak', 'uang', 'game']","['gim,', 'seru', 'banget', 'main', 'bersam', 'teman', 'teman', 'gameini', 'menghasilkan', 'bnyak', 'uang', 'gim,']","['gim', 'seru', 'banget', 'main', 'bersam', 'teman', 'teman', 'gameini', 'hasil', 'bnyak', 'uang', 'gim']"
72,"game ini direkomendasikan untuk dimainkan, arena banyak dan heronya banyak dan keren bagus banget","game ini direkomendasikan untuk dimainkan, arena banyak dan heronya banyak dan keren bagus banget",game ini direkomendasikan untuk dimainkan arena banyak dan heronya banyak dan keren bagus banget,"['game', 'ini', 'direkomendasikan', 'untuk', 'dimainkan', 'arena', 'banyak', 'dan', 'heronya', 'banyak', 'dan', 'keren', 'bagus', 'banget']",<FreqDist with 12 samples and 14 outcomes>,"['game', 'direkomendasikan', 'dimainkan', 'arena', 'heronya', 'keren', 'bagus', 'banget']","['gim,', 'direkomendasikan', 'dimainkan', 'arena', 'heronya', 'keren', 'bagus', 'banget']","['gim', 'rekomendasi', 'main', 'arena', 'hero', 'keren', 'bagus', 'banget']"
73,game play aman buat main enjoy grafik bagus,game play aman buat main enjoy grafik bagus,game play aman buat main enjoy grafik bagus,"['game', 'play', 'aman', 'buat', 'main', 'enjoy', 'grafik', 'bagus']",<FreqDist with 8 samples and 8 outcomes>,"['game', 'play', 'aman', 'main', 'enjoy', 'grafik', 'bagus']","['gim,', 'play', 'aman', 'main', 'enjoy', 'grafik', 'bagus']","['gim', 'play', 'aman', 'main', 'enjoy', 'grafik', 'bagus']"
74,"gamenya sangat bagus dan keren. Saya suka sekali game ini karena mengajarkan kita untuk terus berjuang dan pantang menyerah, game mudah dipahami secara cepat","gamenya sangat bagus dan keren. saya suka sekali game ini karena mengajarkan kita untuk terus berjuang dan pantang menyerah, game mudah dipahami secara cepat",gamenya sangat bagus dan keren saya suka sekali game ini karena mengajarkan kita untuk terus berjuang dan pantang menyerah game mudah dipahami secara cepat,"['gamenya', 'sangat', 'bagus', 'dan', 'keren', 'saya', 'suka', 'sekali', 'game', 'ini', 'karena', 'mengajarkan', 'kita', 'untuk', 'terus', 'berjuang', 'dan', 'pantang', 'menyerah', 'game', 'mudah', 'dipahami', 'secara', 'cepat']",<FreqDist with 22 samples and 24 outcomes>,"['gamenya', 'bagus', 'keren', 'suka', 'game', 'mengajarkan', 'berjuang', 'pantang', 'menyerah', 'game', 'mudah', 'dipahami', 'cepat']","['gim,', 'bagus', 'keren', 'suka', 'gim,', 'mengajarkan', 'berjuang', 'pantang', 'menyerah', 'gim,', 'mudah', 'dipahami', 'cepat']","['gim', 'bagus', 'keren', 'suka', 'gim', 'ajar', 'juang', 'pantang', 'serah', 'gim', 'mudah', 'paham', 'cepat']"
75,bagus. Saya suka desainnya saya suka model skin dan heronya. Penggunaannya juga gampang tidak ribe cara pemakaiannya.,bagus. saya suka desainnya saya suka model skin dan heronya. penggunaannya juga gampang tidak ribe cara pemakaiannya.,bagus saya suka desainnya saya suka model skin dan heronya penggunaannya juga gampang tidak ribe cara pemakaiannya,"['bagus', 'saya', 'suka', 'desainnya', 'saya', 'suka', 'model', 'skin', 'dan', 'heronya', 'penggunaannya', 'juga', 'gampang', 'tidak', 'ribe', 'cara', 'pemakaiannya']",<FreqDist with 15 samples and 17 outcomes>,"['bagus', 'suka', 'desainnya', 'suka', 'model', 'skin', 'heronya', 'penggunaannya', 'gampang', 'ribe', 'pemakaiannya']","['bagus', 'suka', 'desainnya', 'suka', 'model', 'skin', 'heronya', 'penggunaannya', 'gampang', 'ribe', 'pemakaiannya']","['bagus', 'suka', 'desain', 'suka', 'model', 'skin', 'hero', 'guna', 'gampang', 'ribe', 'pakai']"
76,saya suka game ini. Terima kasih sudah membuat waktu luangku menjafi lebih baik dan menyenangkan,saya suka game ini. terima kasih sudah membuat waktu luangku menjafi lebih baik dan menyenangkan,saya suka game ini terima kasih sudah membuat waktu luangku menjafi lebih baik dan menyenangkan,"['saya', 'suka', 'game', 'ini', 'terima', 'kasih', 'sudah', 'membuat', 'waktu', 'luangku', 'menjafi', 'lebih', 'baik', 'dan', 'menyenangkan']",<FreqDist with 15 samples and 15 outcomes>,"['suka', 'game', 'terima', 'kasih', 'luangku', 'menjafi', 'menyenangkan']","['suka', 'gim,', 'terima', 'kasih', 'luangku', 'menjafi', 'menyenangkan']","['suka', 'gim', 'terima', 'kasih', 'luang', 'menjafi', 'senang']"
77,Gem nya sangat bagus,gem nya sangat bagus,gem nya sangat bagus,"['gem', 'nya', 'sangat', 'bagus']",<FreqDist with 4 samples and 4 outcomes>,"['gem', 'bagus']","['gim,', 'bagus']","['gim', 'bagus']"
78,Karena bagus dan cantik banget karakter nya,karena bagus dan cantik banget karakter nya,karena bagus dan cantik banget karakter nya,"['karena', 'bagus', 'dan', 'cantik', 'banget', 'karakter', 'nya']",<FreqDist with 7 samples and 7 outcomes>,"['bagus', 'cantik', 'banget', 'karakter']","['bagus', 'cantik', 'banget', 'karakter']","['bagus', 'cantik', 'banget', 'karakter']"
79,Game nya bagus banget dari segi gamplay grafik mekanik recomende sihðŸ‘ðŸ‘ðŸ‘,game nya bagus banget dari segi gamplay grafik mekanik recomende sihðÿ‘ðÿ‘ðÿ‘,game nya bagus banget dari segi gamplay grafik mekanik recomende sih,"['game', 'nya', 'bagus', 'banget', 'dari', 'segi', 'gamplay', 'grafik', 'mekanik', 'recomende', 'sih']",<FreqDist with 11 samples and 11 outcomes>,"['game', 'bagus', 'banget', 'segi', 'gamplay', 'grafik', 'mekanik', 'recomende']","['gim,', 'bagus', 'banget', 'segi,', 'gamplay', 'grafik', 'mekanik', 'recomende']","['gim', 'bagus', 'banget', 'segi', 'gamplay', 'grafik', 'mekanik', 'recomende']"
80,gamenya jujur seru banget. Sampe ketagihan sih mainnya. Karena dari segi grafik bagus nyaman semagat terus pak moonton,gamenya jujur seru banget. sampe ketagihan sih mainnya. karena dari segi grafik bagus nyaman semagat terus pak moonton,gamenya jujur seru banget sampe ketagihan sih mainnya karena dari segi grafik bagus nyaman semagat terus pak moonton,"['gamenya', 'jujur', 'seru', 'banget', 'sampe', 'ketagihan', 'sih', 'mainnya', 'karena', 'dari', 'segi', 'grafik', 'bagus', 'nyaman', 'semagat', 'terus', 'pak', 'moonton']",<FreqDist with 18 samples and 18 outcomes>,"['gamenya', 'jujur', 'seru', 'banget', 'sampe', 'ketagihan', 'mainnya', 'segi', 'grafik', 'bagus', 'nyaman', 'semagat', 'moonton']","['gim,', 'jujur', 'seru', 'banget', 'sampai,', 'ketagihan', 'mainnya', 'segi,', 'grafik', 'bagus', 'nyaman', 'semagat', 'moonton']","['gim', 'jujur', 'seru', 'banget', 'sampai', 'tagih', 'main', 'segi', 'grafik', 'bagus', 'nyaman', 'semagat', 'moonton']"
81,game yang sangat bagus untuk melatih kewarasan,game yang sangat bagus untuk melatih kewarasan,game yang sangat bagus untuk melatih kewarasan,"['game', 'yang', 'sangat', 'bagus', 'untuk', 'melatih', 'kewarasan']",<FreqDist with 7 samples and 7 outcomes>,"['game', 'bagus', 'melatih', 'kewarasan']","['gim,', 'bagus', 'melatih', 'kewarasan']","['gim', 'bagus', 'latih', 'waras']"
82,"permainannya bagus saya suka, bisa dimainnkan walaupun data mati","permainannya bagus saya suka, bisa dimainnkan walaupun data mati",permainannya bagus saya suka bisa dimainnkan walaupun data mati,"['permainannya', 'bagus', 'saya', 'suka', 'bisa', 'dimainnkan', 'walaupun', 'data', 'mati']",<FreqDist with 9 samples and 9 outcomes>,"['permainannya', 'bagus', 'suka', 'dimainnkan', 'data', 'mati']","['permainannya', 'bagus', 'suka', 'dimainnkan', 'data', 'mati']","['main', 'bagus', 'suka', 'dimainnkan', 'data', 'mati']"
83,permainanya sangat bagus eventnya juga menarik ditambah lagi grafiknya bagus banget kalian gak bakal nyesel downloadnya,permainanya sangat bagus eventnya juga menarik ditambah lagi grafiknya bagus banget kalian gak bakal nyesel downloadnya,permainanya sangat bagus eventnya juga menarik ditambah lagi grafiknya bagus banget kalian gak bakal nyesel downloadnya,"['permainanya', 'sangat', 'bagus', 'eventnya', 'juga', 'menarik', 'ditambah', 'lagi', 'grafiknya', 'bagus', 'banget', 'kalian', 'gak', 'bakal', 'nyesel', 'downloadnya']",<FreqDist with 15 samples and 16 outcomes>,"['permainanya', 'bagus', 'eventnya', 'menarik', 'ditambah', 'grafiknya', 'bagus', 'banget', 'nyesel', 'downloadnya']","['permainanya', 'bagus', 'eventnya', 'menarik', 'ditambah', 'grafiknya', 'bagus', 'banget', 'nyesel', 'downloadnya']","['permainanya', 'bagus', 'eventnya', 'tarik', 'tambah', 'grafik', 'bagus', 'banget', 'nyesel', 'downloadnya']"
84,Game nya seruðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜Šâ¤â¤â¤ðŸ˜ŽðŸ˜ŽðŸ˜ðŸ¤©,game nya seruðÿ˜šðÿ˜šðÿ˜šðÿ˜šâ¤â¤â¤ðÿ˜žðÿ˜žðÿ˜ðÿ¤©,game nya seru,"['game', 'nya', 'seru']",<FreqDist with 3 samples and 3 outcomes>,"['game', 'seru']","['gim,', 'seru']","['gim', 'seru']"
85,bagus sekali,bagus sekali,bagus sekali,"['bagus', 'sekali']",<FreqDist with 2 samples and 2 outcomes>,['bagus'],['bagus'],['bagus']
86,Bagus kok game ya,bagus kok game ya,bagus kok game ya,"['bagus', 'kok', 'game', 'ya']",<FreqDist with 4 samples and 4 outcomes>,"['bagus', 'game']","['bagus', 'gim,']","['bagus', 'gim']"
87,game moba yang menurut saya paling keren dan kece. Even yang selalu update dan ganti setiap bulan jadi bikin pengguna tidak bosan,game moba yang menurut saya paling keren dan kece. even yang selalu update dan ganti setiap bulan jadi bikin pengguna tidak bosan,game moba yang menurut saya paling keren dan kece even yang selalu update dan ganti setiap bulan jadi bikin pengguna tidak bosan,"['game', 'moba', 'yang', 'menurut', 'saya', 'paling', 'keren', 'dan', 'kece', 'even', 'yang', 'selalu', 'update', 'dan', 'ganti', 'setiap', 'bulan', 'jadi', 'bikin', 'pengguna', 'tidak', 'bosan']",<FreqDist with 20 samples and 22 outcomes>,"['game', 'moba', 'keren', 'kece', 'even', 'update', 'ganti', 'pengguna', 'bosan']","['gim,', 'moba', 'keren', 'kece', 'even', 'update', 'ganti', 'pengguna', 'bosan']","['gim', 'moba', 'keren', 'kece', 'even', 'update', 'ganti', 'guna', 'bosan']"
88,Aku suka game ini,aku suka game ini,aku suka game ini,"['aku', 'suka', 'game', 'ini']",<FreqDist with 4 samples and 4 outcomes>,"['suka', 'game']","['suka', 'gim,']","['suka', 'gim']"
89,grafiknya cantik dan jernih. Gamennya tidak terlalu menguras baterai dan bagus,grafiknya cantik dan jernih. gamennya tidak terlalu menguras baterai dan bagus,grafiknya cantik dan jernih gamennya tidak terlalu menguras baterai dan bagus,"['grafiknya', 'cantik', 'dan', 'jernih', 'gamennya', 'tidak', 'terlalu', 'menguras', 'baterai', 'dan', 'bagus']",<FreqDist with 10 samples and 11 outcomes>,"['grafiknya', 'cantik', 'jernih', 'gamennya', 'menguras', 'baterai', 'bagus']","['grafiknya', 'cantik', 'jernih', 'gamennya', 'menguras', 'baterai', 'bagus']","['grafik', 'cantik', 'jernih', 'gamennya', 'uras', 'baterai', 'bagus']"
90,pengalaman saya yang paling menabjubkan setelah update grafik makin bagus jaringan pun bgus. Even sangat berkesan pada saya terima kasih,pengalaman saya yang paling menabjubkan setelah update grafik makin bagus jaringan pun bgus. even sangat berkesan pada saya terima kasih,pengalaman saya yang paling menabjubkan setelah update grafik makin bagus jaringan pun bgus even sangat berkesan pada saya terima kasih,"['pengalaman', 'saya', 'yang', 'paling', 'menabjubkan', 'setelah', 'update', 'grafik', 'makin', 'bagus', 'jaringan', 'pun', 'bgus', 'even', 'sangat', 'berkesan', 'pada', 'saya', 'terima', 'kasih']",<FreqDist with 19 samples and 20 outcomes>,"['pengalaman', 'menabjubkan', 'update', 'grafik', 'bagus', 'jaringan', 'bgus', 'even', 'berkesan', 'terima', 'kasih']","['pengalaman', 'menabjubkan', 'update', 'grafik', 'bagus', 'jaringan', 'bagus,', 'even', 'berkesan', 'terima', 'kasih']","['alam', 'menabjubkan', 'update', 'grafik', 'bagus', 'jaring', 'bagus', 'even', 'kesan', 'terima', 'kasih']"
91,ini game nya seru banget,ini game nya seru banget,ini game nya seru banget,"['ini', 'game', 'nya', 'seru', 'banget']",<FreqDist with 5 samples and 5 outcomes>,"['game', 'seru', 'banget']","['gim,', 'seru', 'banget']","['gim', 'seru', 'banget']"
92,Wow game ini sangat seru yah,wow game ini sangat seru yah,wow game ini sangat seru yah,"['wow', 'game', 'ini', 'sangat', 'seru', 'yah']",<FreqDist with 6 samples and 6 outcomes>,"['wow', 'game', 'seru']","['wow', 'gim,', 'seru']","['wow', 'gim', 'seru']"
93,gamenya sudah membuat banyak kenangan yang sangat menyenangkan bersama teman. Dari segi gafik keren hero banyak,gamenya sudah membuat banyak kenangan yang sangat menyenangkan bersama teman. dari segi gafik keren hero banyak,gamenya sudah membuat banyak kenangan yang sangat menyenangkan bersama teman dari segi gafik keren hero banyak,"['gamenya', 'sudah', 'membuat', 'banyak', 'kenangan', 'yang', 'sangat', 'menyenangkan', 'bersama', 'teman', 'dari', 'segi', 'gafik', 'keren', 'hero', 'banyak']",<FreqDist with 15 samples and 16 outcomes>,"['gamenya', 'kenangan', 'menyenangkan', 'teman', 'segi', 'gafik', 'keren', 'hero']","['gim,', 'kenangan', 'menyenangkan', 'teman', 'segi,', 'gafik', 'keren', 'hero']","['gim', 'kenang', 'senang', 'teman', 'segi', 'gafik', 'keren', 'hero']"
94,sangat menghibur dan sangat seru oertahankan kualitas game seperti ini sangat bergembira saat bermain game game dan skill para hero,sangat menghibur dan sangat seru oertahankan kualitas game seperti ini sangat bergembira saat bermain game game dan skill para hero,sangat menghibur dan sangat seru oertahankan kualitas game seperti ini sangat bergembira saat bermain game game dan skill para hero,"['sangat', 'menghibur', 'dan', 'sangat', 'seru', 'oertahankan', 'kualitas', 'game', 'seperti', 'ini', 'sangat', 'bergembira', 'saat', 'bermain', 'game', 'game', 'dan', 'skill', 'para', 'hero']",<FreqDist with 15 samples and 20 outcomes>,"['menghibur', 'seru', 'oertahankan', 'kualitas', 'game', 'bergembira', 'bermain', 'game', 'game', 'skill', 'hero']","['menghibur', 'seru', 'oertahankan', 'kualitas', 'gim,', 'bergembira', 'bermain', 'gim,', 'gim,', 'skill', 'hero']","['hibur', 'seru', 'oertahankan', 'kualitas', 'gim', 'gembira', 'main', 'gim', 'gim', 'skill', 'hero']"
95,Keren.,keren.,keren,['keren'],<FreqDist with 1 samples and 1 outcomes>,['keren'],['keren'],['keren']
96,keseluruhan sangat bagus. Bisa untuk berpikit strategis dan tidak egois. Visualnya pun sangat bagus,keseluruhan sangat bagus. bisa untuk berpikit strategis dan tidak egois. visualnya pun sangat bagus,keseluruhan sangat bagus bisa untuk berpikit strategis dan tidak egois visualnya pun sangat bagus,"['keseluruhan', 'sangat', 'bagus', 'bisa', 'untuk', 'berpikit', 'strategis', 'dan', 'tidak', 'egois', 'visualnya', 'pun', 'sangat', 'bagus']",<FreqDist with 12 samples and 14 outcomes>,"['bagus', 'berpikit', 'strategis', 'egois', 'visualnya', 'bagus']","['bagus', 'berpikit', 'strategis', 'egois', 'visualnya', 'bagus']","['bagus', 'berpikit', 'strategis', 'egois', 'visual', 'bagus']"
