,rawContent,caseFolding,cleaning,tokenizing,tweet_tokens_fdist,stopword,tweet_tokens_normalized,tweet_tokens_stemmed
21,Aku sering main cuma ya di kasih kalah menang kalah kalah kalah kalah kalah menang kalah kalah terus muntun tolong lah kasih tim yang bener aku 2 tahun stack di epikðŸ—¿ pliss,aku sering main cuma ya di kasih kalah menang kalah kalah kalah kalah kalah menang kalah kalah terus muntun tolong lah kasih tim yang bener aku 2 tahun stack di epikðÿ—¿ pliss,aku sering main cuma ya di kasih kalah menang kalah kalah kalah kalah kalah menang kalah kalah terus muntun tolong lah kasih tim yang bener aku tahun stack di epik pliss,"['aku', 'sering', 'main', 'cuma', 'ya', 'di', 'kasih', 'kalah', 'menang', 'kalah', 'kalah', 'kalah', 'kalah', 'kalah', 'menang', 'kalah', 'kalah', 'terus', 'muntun', 'tolong', 'lah', 'kasih', 'tim', 'yang', 'bener', 'aku', 'tahun', 'stack', 'di', 'epik', 'pliss']",<FreqDist with 20 samples and 31 outcomes>,"['main', 'kasih', 'kalah', 'menang', 'kalah', 'kalah', 'kalah', 'kalah', 'kalah', 'menang', 'kalah', 'kalah', 'muntun', 'tolong', 'kasih', 'tim', 'bener', 'stack', 'epik', 'pliss']","['main', 'kasih', 'kalah', 'menang', 'kalah', 'kalah', 'kalah', 'kalah', 'kalah', 'menang', 'kalah', 'kalah', 'muntun', 'tolong', 'kasih', 'tim', 'benar,', 'alat,', 'epik', 'pliss']","['main', 'kasih', 'kalah', 'menang', 'kalah', 'kalah', 'kalah', 'kalah', 'kalah', 'menang', 'kalah', 'kalah', 'muntun', 'tolong', 'kasih', 'tim', 'benar', 'alat', 'epik', 'pliss']"
22,pindah aj lh bnyk tim ga seimbang msa gw glory b63 ktemu glory b50 ap cb udahlah banyak omong lagi dh s gw,pindah aj lh bnyk tim ga seimbang msa gw glory b63 ktemu glory b50 ap cb udahlah banyak omong lagi dh s gw,pindah aj lh bnyk tim ga seimbang msa gw glory  ktemu glory  ap cb udahlah banyak omong lagi dh  gw,"['pindah', 'aj', 'lh', 'bnyk', 'tim', 'ga', 'seimbang', 'msa', 'gw', 'glory', 'ktemu', 'glory', 'ap', 'cb', 'udahlah', 'banyak', 'omong', 'lagi', 'dh', 'gw']",<FreqDist with 18 samples and 20 outcomes>,"['pindah', 'aj', 'lh', 'bnyk', 'tim', 'seimbang', 'msa', 'gw', 'glory', 'ktemu', 'glory', 'ap', 'cb', 'udahlah', 'omong', 'dh', 'gw']","['pindah', 'saja,', 'lh', 'banyak,', 'tim', 'seimbang', 'msa', 'saya,', 'glory', 'bertemu,', 'glory', 'apa,', 'coba,', 'udahlah', 'omong', 'sudah,', 'saya,']","['pindah', 'saja', 'lh', 'banyak', 'tim', 'imbang', 'msa', 'saya', 'glory', 'temu', 'glory', 'apa', 'coba', 'udahlah', 'omong', 'sudah', 'saya']"
23,Kalo ngasih tim yg bener lah,kalo ngasih tim yg bener lah,kalo ngasih tim yg bener lah,"['kalo', 'ngasih', 'tim', 'yg', 'bener', 'lah']",<FreqDist with 6 samples and 6 outcomes>,"['ngasih', 'tim', 'bener']","['memberikan,', 'tim', 'benar,']","['beri', 'tim', 'benar']"
24,ini aneh bgt sih masa tiap abis login trus ada di lobi 2 menit langsung ulang login lagi sih,ini aneh bgt sih masa tiap abis login trus ada di lobi 2 menit langsung ulang login lagi sih,ini aneh bgt sih masa tiap abis login trus ada di lobi menit langsung ulang login lagi sih,"['ini', 'aneh', 'bgt', 'sih', 'masa', 'tiap', 'abis', 'login', 'trus', 'ada', 'di', 'lobi', 'menit', 'langsung', 'ulang', 'login', 'lagi', 'sih']",<FreqDist with 16 samples and 18 outcomes>,"['aneh', 'bgt', 'abis', 'login', 'trus', 'lobi', 'menit', 'langsung', 'ulang', 'login']","['aneh', 'banget,', 'habis,', 'login', 'terus,', 'lobi', 'menit', 'langsung', 'ulang', 'login']","['aneh', 'banget', 'habis', 'login', 'terus', 'lobi', 'menit', 'langsung', 'ulang', 'login']"
25,monton pasti kalo mau naik dikasih musuh yang pro aku main sebulan ngestack di gm 1 pasti kalo mau naik epic susah,monton pasti kalo mau naik dikasih musuh yang pro aku main sebulan ngestack di gm 1 pasti kalo mau naik epic susah,monton pasti kalo mau naik dikasih musuh yang pro aku main sebulan ngestack di gm pasti kalo mau naik epic susah,"['monton', 'pasti', 'kalo', 'mau', 'naik', 'dikasih', 'musuh', 'yang', 'pro', 'aku', 'main', 'sebulan', 'ngestack', 'di', 'gm', 'pasti', 'kalo', 'mau', 'naik', 'epic', 'susah']",<FreqDist with 17 samples and 21 outcomes>,"['monton', 'dikasih', 'musuh', 'pro', 'main', 'sebulan', 'ngestack', 'gm', 'epic', 'susah']","['moonton,', 'dikasih', 'musuh', 'profesional,', 'main', 'sebulan', 'ngestack', 'gm', 'epic', 'susah']","['moonton', 'kasih', 'musuh', 'profesional', 'main', 'bulan', 'ngestack', 'gm', 'epic', 'susah']"
26,banyak makan penyimpanan,banyak makan penyimpanan,banyak makan penyimpanan,"['banyak', 'makan', 'penyimpanan']",<FreqDist with 3 samples and 3 outcomes>,"['makan', 'penyimpanan']","['makan', 'penyimpanan']","['makan', 'simpan']"
27,buat yang sinyalnya sering lag mndng pindah ke game sebelah dehh disana sinyalnya ijo truss jadi ga keganggu sinyal pas main,buat yang sinyalnya sering lag mndng pindah ke game sebelah dehh disana sinyalnya ijo truss jadi ga keganggu sinyal pas main,buat yang sinyalnya sering lag mndng pindah ke game sebelah dehh disana sinyalnya ijo truss jadi ga keganggu sinyal pas main,"['buat', 'yang', 'sinyalnya', 'sering', 'lag', 'mndng', 'pindah', 'ke', 'game', 'sebelah', 'dehh', 'disana', 'sinyalnya', 'ijo', 'truss', 'jadi', 'ga', 'keganggu', 'sinyal', 'pas', 'main']",<FreqDist with 20 samples and 21 outcomes>,"['sinyalnya', 'lag', 'mndng', 'pindah', 'game', 'sebelah', 'dehh', 'disana', 'sinyalnya', 'ijo', 'truss', 'keganggu', 'sinyal', 'pas', 'main']","['sinyalnya', 'lag', 'mndng', 'pindah', 'gim,', 'sebelah', 'dehh', 'disana', 'sinyalnya', 'ijo', 'truss', 'keganggu', 'sinyal,', 'pas', 'main']","['sinyal', 'lag', 'mndng', 'pindah', 'gim', 'belah', 'dehh', 'sana', 'sinyal', 'ijo', 'truss', 'ganggu', 'sinyal', 'pas', 'main']"
28,game nya jahat suka bgt ngasi tim jelek AKU UDA JAGO MALAH DI COMEBACK???????? maafya tapi aku sedi bgt makanya aku kasi bintang 2 aja biar kaya rank aku epic 2 bintang 2!!!!!!!!,game nya jahat suka bgt ngasi tim jelek aku uda jago malah di comeback???????? maafya tapi aku sedi bgt makanya aku kasi bintang 2 aja biar kaya rank aku epic 2 bintang 2!!!!!!!!,game nya jahat suka bgt ngasi tim jelek aku uda jago malah di comeback maafya tapi aku sedi bgt makanya aku kasi bintang aja biar kaya rank aku epic bintang,"['game', 'nya', 'jahat', 'suka', 'bgt', 'ngasi', 'tim', 'jelek', 'aku', 'uda', 'jago', 'malah', 'di', 'comeback', 'maafya', 'tapi', 'aku', 'sedi', 'bgt', 'makanya', 'aku', 'kasi', 'bintang', 'aja', 'biar', 'kaya', 'rank', 'aku', 'epic', 'bintang']",<FreqDist with 25 samples and 30 outcomes>,"['game', 'jahat', 'suka', 'bgt', 'ngasi', 'tim', 'jelek', 'uda', 'jago', 'comeback', 'maafya', 'sedi', 'bgt', 'kasi', 'bintang', 'kaya', 'rank', 'epic', 'bintang']","['gim,', 'jahat', 'suka', 'banget,', 'ngasi', 'tim', 'jelek', 'sudah,', 'jago', 'comeback', 'maafya', 'sedi', 'banget,', 'kasih,', 'bintang', 'seperti,', 'rank', 'epic', 'bintang']","['gim', 'jahat', 'suka', 'banget', 'ngasi', 'tim', 'jelek', 'sudah', 'jago', 'comeback', 'maafya', 'sedi', 'banget', 'kasih', 'bintang', 'seperti', 'rank', 'epic', 'bintang']"
29,lol dark sistem tim nya lol semua,lol dark sistem tim nya lol semua,lol dark sistem tim nya lol semua,"['lol', 'dark', 'sistem', 'tim', 'nya', 'lol', 'semua']",<FreqDist with 6 samples and 7 outcomes>,"['lol', 'dark', 'sistem', 'tim', 'lol']","['tertawa,', 'dark', 'sistim,', 'tim', 'tertawa,']","['tertawa', 'dark', 'sistim', 'tim', 'tertawa']"
30,Kebanyakan dark sistem. .,kebanyakan dark sistem. .,kebanyakan dark sistem,"['kebanyakan', 'dark', 'sistem']",<FreqDist with 3 samples and 3 outcomes>,"['kebanyakan', 'dark', 'sistem']","['kebanyakan', 'dark', 'sistim,']","['banyak', 'dark', 'sistim']"
